pin,slack
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b9_SoW_TWsrw_b9_SoW_TWsrw_0_0/CFG_17:IPD,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[16]:CLK,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[16]:D,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[16]:EN,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[16]:Q,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[16]:SLn,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk2.b8_nczQ_DYg[7]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk2.b8_nczQ_DYg[7]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk2.b8_nczQ_DYg[7]:EN,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk2.b8_nczQ_DYg[7]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:B,7010
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:CC,7320
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:P,7010
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:S,7320
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:Y3,
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:Y3A,
ident_coreinst/IICE_INST/b5_nUTGT/un22_i_a3_2[2]:A,2535
ident_coreinst/IICE_INST/b5_nUTGT/un22_i_a3_2[2]:B,2504
ident_coreinst/IICE_INST/b5_nUTGT/un22_i_a3_2[2]:Y,2504
ident_coreinst/IICE_INST/b5_nUTGT/b8_nUT_TJfx_0_a2_0:A,1461
